Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
rounded bilateral mid lung opacities are again seen grossly unchanged and likely reflect consolidative infectious process given history of septic emboli,,,,,1.0,,1.0,1.0,,,,,,
there is unchanged bibasilar opacification which is likely atelectasis with left greater than right effusions,,,,,1.0,,,,1.0,,1.0,,,
cardiac silhouette is markedly enlarged similar to the most recent prior,,,1.0,,,,,,,,,,,
left picc terminates in the cavoatrial junction,1.0,,,,,,,,,,,,,1.0
median sternotomy wires are intact  .,1.0,,,,,,,,,,,,,
rounded bilateral mid lung opacities are again seen grossly unchanged and likely reflect consolidative infectious process given history of septic emboli,,,,,1.0,,1.0,1.0,,,,,,
there is unchanged bibasilar opacification which is likely atelectasis with left greater than right effusions,,,,,1.0,,,,1.0,,1.0,,,
cardiac silhouette is markedly enlarged similar to the most recent prior,,,1.0,,,,,,,,,,,
left picc terminates in the cavoatrial junction,1.0,,,,,,,,,,,,,1.0
median sternotomy wires are intact  .,1.0,,,,,,,,,,,,,
ap portable semi upright view of the chest,1.0,,,,,,,,,,,,,
lung volumes are low limiting assessment,1.0,,,,,,,,,,,,,
there is increased bibasilar atelectasis and bronchovascular crowding,,,,,,,,,1.0,,,,,
overall cardiomediastinal silhouette is unchanged,,-1.0,,,,,,,,,,,,
the right upper extremity access picc line appears in unchanged position extending to the level of the cavoatrial junction,1.0,,,,,,,,,,,,,1.0
mild congestion is difficult to exclude in the correct clinical setting,1.0,,,,,,,,,,,,,
no overt signs of edema  .,1.0,,,,,0.0,,,,,,,,
mild cardiomegaly is unchanged compared to the prior study,,,1.0,,,,,,,,,,,
aortic knob calcifications are again noted,,,,,,,,,,,,,,
the mediastinal and hilar contours are stable,,-1.0,,,,,,,,,,,,
previously noted pattern of mild pulmonary vascular congestion has essentially resolved,,,,,,-1.0,,,,,,,,
streaky opacity in the right lung base likely reflects atelectasis,,,,,1.0,,,,1.0,,,,,
no pleural effusion focal consolidation or pneumothorax is identified,,,,,,,-1.0,,,-1.0,0.0,,,
no acute osseous abnormality is seen  .,1.0,,,,,,,,,,,,,
mild cardiomegaly is unchanged compared to the prior study,,,1.0,,,,,,,,,,,
aortic knob calcifications are again noted,,,,,,,,,,,,,,
the mediastinal and hilar contours are stable,,-1.0,,,,,,,,,,,,
previously noted pattern of mild pulmonary vascular congestion has essentially resolved,,,,,,-1.0,,,,,,,,
streaky opacity in the right lung base likely reflects atelectasis,,,,,1.0,,,,1.0,,,,,
no pleural effusion focal consolidation or pneumothorax is identified,,,,,,,-1.0,,,-1.0,0.0,,,
no acute osseous abnormality is seen  .,1.0,,,,,,,,,,,,,
ap and lateral views of the chest,1.0,,,,,,,,,,,,,
unk hyperinflation consistent with background copd,,,,,,,,,,,,,,
there is increased diffuse parenchymal opacities bilaterally more prominent at the bases consistent with mild pulmonary edema,,,,,1.0,1.0,,,,,,,,
there are small bilateral pleural effusions layering posteriorly left greater than right,,,,,,,,,,,1.0,,,
there is fluid in the major fissure seen on the lateral view,,,,,,,,,,,,,,
there is moderate cardiomegaly,,,1.0,,,,,,,,,,,
no pneumothorax,1.0,,,,,,,,,0.0,,,,
the left hemidiaphragm is elevated laterally  .,1.0,,,,,,,,,,,,,
ap and lateral views of the chest,1.0,,,,,,,,,,,,,
unk hyperinflation consistent with background copd,,,,,,,,,,,,,,
there is increased diffuse parenchymal opacities bilaterally more prominent at the bases consistent with mild pulmonary edema,,,,,1.0,1.0,,,,,,,,
there are small bilateral pleural effusions layering posteriorly left greater than right,,,,,,,,,,,1.0,,,
there is fluid in the major fissure seen on the lateral view,,,,,,,,,,,,,,
there is moderate cardiomegaly,,,1.0,,,,,,,,,,,
no pneumothorax,1.0,,,,,,,,,0.0,,,,
the left hemidiaphragm is elevated laterally  .,1.0,,,,,,,,,,,,,
single portable view of the chest,1.0,,,,,,,,,,,,,
bibasilar opacities with blunting of the costophrenic angles which could be due to effusions,,,,,1.0,,,,,,-1.0,,,
there are indistinct pulmonary vascular markings,1.0,,,,,,,,,,,,,
relatively unk opacity over the right mid lung is suggestive of fluid within the fissure,,,,,1.0,,,,,,,,,
the cardiac silhouette is enlarged similar to prior,,,1.0,,,,,,,,,,,
atherosclerotic calcifications are noted  .,,,,,,,,,,,,,,
pa and lateral views of the chest provided,1.0,,,,,,,,,,,,,
there is no focal consolidation effusion or pneumothorax,1.0,,,,,,0.0,,,0.0,0.0,,,
the cardiomediastinal silhouette is stable and top-normal in size,,-1.0,,,,,,,,,,,,
imaged osseous structures are intact,1.0,,,,,,,,,,,,,
no free air below the right hemidiaphragm is seen  .,1.0,,,,,,,,,,,,,
pa and lateral views of the chest provided,1.0,,,,,,,,,,,,,
there is no focal consolidation effusion or pneumothorax,1.0,,,,,,0.0,,,0.0,0.0,,,
the cardiomediastinal silhouette is stable and top-normal in size,,-1.0,,,,,,,,,,,,
imaged osseous structures are intact,1.0,,,,,,,,,,,,,
no free air below the right hemidiaphragm is seen  .,1.0,,,,,,,,,,,,,
there is ill-defined opacity in the left upper lobe,,,,,1.0,,,,,,,,,
there has been interval resolution of the left lower lobe consolidation,1.0,,,,,,0.0,,,,,,,
heart and mediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
no pneumothorax is seen,1.0,,,,,,,,,0.0,,,,
biapical pleural thickening is present,,,,,,,,,,,,1.0,,
underlying emphysematous changes are noted  .,,,,,,,,,,,,,,
there is ill-defined opacity in the left upper lobe,,,,,1.0,,,,,,,,,
there has been interval resolution of the left lower lobe consolidation,1.0,,,,,,0.0,,,,,,,
heart and mediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
no pneumothorax is seen,1.0,,,,,,,,,0.0,,,,
biapical pleural thickening is present,,,,,,,,,,,,1.0,,
underlying emphysematous changes are noted  .,,,,,,,,,,,,,,
a new area of consolidation has developed in the left lower lobe and is concerning for developing pneumonia considering the clinical suspicion for this entity,,,,,,,1.0,1.0,,,,,,
additional nonspecific patchy opacity at the periphery of the right lung base could reflect focal atelectasis or an additional site of infection,,,,,1.0,,,1.0,-1.0,,,,,
severe upper lobe predominant emphysema is again demonstrated,,,,,,,,,,,,,,
cardiomediastinal contours are normal,1.0,0.0,,,,,,,,,,,,
no pleural effusion or pneumothorax is evident  .,1.0,,,,,,,,,0.0,0.0,,,
a new area of consolidation has developed in the left lower lobe and is concerning for developing pneumonia considering the clinical suspicion for this entity,,,,,,,1.0,1.0,,,,,,
additional nonspecific patchy opacity at the periphery of the right lung base could reflect focal atelectasis or an additional site of infection,,,,,1.0,,,1.0,-1.0,,,,,
severe upper lobe predominant emphysema is again demonstrated,,,,,,,,,,,,,,
cardiomediastinal contours are normal,1.0,0.0,,,,,,,,,,,,
no pleural effusion or pneumothorax is evident  .,1.0,,,,,,,,,0.0,0.0,,,
frontal and lateral views of the chest demonstrate normal cardiomediastinal silhouette,1.0,0.0,,,,,,,,,,,,
the lungs appear hyperexpanded in keeping with known emphysema,,,,,,,,,,,,,,
previously seen left lower lobe opacity has resolved on the frontal view but may persist on lateral view obscuring the posterior costophrenic angle which could represent a component of residual infection andor atelectasis,,,,,0.0,,,1.0,1.0,,,,,
there is trace basilar atelectasis on the right,,,,,,,,,1.0,,,,,
there is no large effusion,1.0,,,,,,,,,,0.0,,,
eventration is seen on the right unchanged  .,,,,,,,,,,,,,,
frontal and lateral views of the chest demonstrate normal cardiomediastinal silhouette,1.0,0.0,,,,,,,,,,,,
the lungs appear hyperexpanded in keeping with known emphysema,,,,,,,,,,,,,,
previously seen left lower lobe opacity has resolved on the frontal view but may persist on lateral view obscuring the posterior costophrenic angle which could represent a component of residual infection andor atelectasis,,,,,0.0,,,1.0,1.0,,,,,
there is trace basilar atelectasis on the right,,,,,,,,,1.0,,,,,
there is no large effusion,1.0,,,,,,,,,,0.0,,,
eventration is seen on the right unchanged  .,,,,,,,,,,,,,,
pa and lateral chest radiographs were provided,1.0,,,,,,,,,,,,,
there is a subtle opacity in the right lower lobe that is concerning for early pneumonia,,,,,1.0,,,-1.0,,,,,,
there is linear scarring in the left upper lobe from area of prior pneumonia that has resolved,,,,,0.0,,,1.0,,,,,,
the lungs are hyperinflated and the diaphragms are flattened consistent with copd,,,,,,,,,,,,,,
there is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
the cardiomediastinal silhouette is unremarkable,1.0,0.0,,,,,,,,,,,,
there is no free air under the right hemidiaphragm,1.0,,,,,,,,,,,,,
there are no acute osseous lesions  .,1.0,,,,,,,,,,,,,
pa and lateral chest radiographs were provided,1.0,,,,,,,,,,,,,
there is a subtle opacity in the right lower lobe that is concerning for early pneumonia,,,,,1.0,,,-1.0,,,,,,
there is linear scarring in the left upper lobe from area of prior pneumonia that has resolved,,,,,0.0,,,1.0,,,,,,
the lungs are hyperinflated and the diaphragms are flattened consistent with copd,,,,,,,,,,,,,,
there is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
the cardiomediastinal silhouette is unremarkable,1.0,0.0,,,,,,,,,,,,
there is no free air under the right hemidiaphragm,1.0,,,,,,,,,,,,,
there are no acute osseous lesions  .,1.0,,,,,,,,,,,,,
pa and lateral chest radiographs were provided,1.0,,,,,,,,,,,,,
there is a subtle opacity in the right lower lobe that is concerning for early pneumonia,,,,,1.0,,,-1.0,,,,,,
there is linear scarring in the left upper lobe from area of prior pneumonia that has resolved,,,,,0.0,,,1.0,,,,,,
the lungs are hyperinflated and the diaphragms are flattened consistent with copd,,,,,,,,,,,,,,
there is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
the cardiomediastinal silhouette is unremarkable,1.0,0.0,,,,,,,,,,,,
there is no free air under the right hemidiaphragm,1.0,,,,,,,,,,,,,
there are no acute osseous lesions  .,1.0,,,,,,,,,,,,,
residual stellate left upper lobe opacity is most compatible with scarring,,,,,1.0,,,,,,,,,
left mid lung granuloma is unchanged,,,,,,,,,,,,,,
otherwise the lungs remain hyperexpanded compatible with chronic obstructive pulmonary disease without new opacity,,,,,1.0,,,,,,,,,
there is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
the heart is normal in size and cardiomediastinal contours  .,1.0,0.0,0.0,,,,,,,,,,,
residual stellate left upper lobe opacity is most compatible with scarring,,,,,1.0,,,,,,,,,
left mid lung granuloma is unchanged,,,,,,,,,,,,,,
otherwise the lungs remain hyperexpanded compatible with chronic obstructive pulmonary disease without new opacity,,,,,1.0,,,,,,,,,
there is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
the heart is normal in size and cardiomediastinal contours  .,1.0,0.0,0.0,,,,,,,,,,,
the cardiac silhouette size is normal,1.0,,0.0,,,,,,,,,,,
the mediastinal and hilar contours are unremarkable,1.0,0.0,,,,,,,,,,,,
hyperinflation of lungs with emphysematous changes most pronounced within the lung apices is again demonstrated,,,,,,,,,,,,,,
ill-defined patchy opacity within the right lower lobe appears slightly improved when compared to the prior study but persists,,,,,1.0,,,,,,,,,
additionally continued patchy ill-defined opacity within the left lower lobe is not significantly changed in the interval,,,,,1.0,,,,,,,,,
no pleural effusion or pneumothorax is identified,1.0,,,,,,,,,0.0,0.0,,,
there is no pulmonary vascular engorgement,1.0,,,,,,,,,,,,,
scarring within the left upper lobe is stable,,,,,1.0,,,,,,,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
multilevel degenerative changes of the thoracic spine are redemonstrated  .,,,,,,,,,,,,,,
the cardiac silhouette size is normal,1.0,,0.0,,,,,,,,,,,
the mediastinal and hilar contours are unremarkable,1.0,0.0,,,,,,,,,,,,
hyperinflation of lungs with emphysematous changes most pronounced within the lung apices is again demonstrated,,,,,,,,,,,,,,
ill-defined patchy opacity within the right lower lobe appears slightly improved when compared to the prior study but persists,,,,,1.0,,,,,,,,,
additionally continued patchy ill-defined opacity within the left lower lobe is not significantly changed in the interval,,,,,1.0,,,,,,,,,
no pleural effusion or pneumothorax is identified,1.0,,,,,,,,,0.0,0.0,,,
there is no pulmonary vascular engorgement,1.0,,,,,,,,,,,,,
scarring within the left upper lobe is stable,,,,,1.0,,,,,,,,,
there is no pneumothorax,1.0,,,,,,,,,0.0,,,,
multilevel degenerative changes of the thoracic spine are redemonstrated  .,,,,,,,,,,,,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
the lungs are hyperinflated,,,,,,,,,,,,,,
there is no focal consolidation pleural effusion or pneumothorax,1.0,,,,,,0.0,,,0.0,0.0,,,
small focal opacity projects over the lateral right lower hemithorax may represent overlapping structures but further evaluation is recommended with shallow obliques to assess for possible pulmonary nodule,,,,-1.0,1.0,,,,,,,,,
heart size is normal,1.0,,0.0,,,,,,,,,,,
mediastinal silhouette and hilar contours are normal  .,1.0,0.0,,,,,,,,,,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
the lungs are hyperinflated,,,,,,,,,,,,,,
there is no focal consolidation pleural effusion or pneumothorax,1.0,,,,,,0.0,,,0.0,0.0,,,
small focal opacity projects over the lateral right lower hemithorax may represent overlapping structures but further evaluation is recommended with shallow obliques to assess for possible pulmonary nodule,,,,-1.0,1.0,,,,,,,,,
heart size is normal,1.0,,0.0,,,,,,,,,,,
mediastinal silhouette and hilar contours are normal  .,1.0,0.0,,,,,,,,,,,,
there is increased opacification in the left lung base with obscuration of the left hemidiaphragm when compared to,,,,,1.0,,,,,,,,,
again noted is hyperinflation and flattening of the diaphragms suggesting emphysema,,,,,,,,,,,,,,
the cardiomediastinal silhouette is within normal limits  .,1.0,0.0,,,,,,,,,,,,
there is increased opacification in the left lung base with obscuration of the left hemidiaphragm when compared to,,,,,1.0,,,,,,,,,
again noted is hyperinflation and flattening of the diaphragms suggesting emphysema,,,,,,,,,,,,,,
the cardiomediastinal silhouette is within normal limits  .,1.0,0.0,,,,,,,,,,,,
in comparison with the study of the increased opacification at the left base has substantially cleared,,,,,1.0,,,,,,,,,
the suspected area of opacification at the right base laterally is barely perceptible at this time,,,,,1.0,,,,,,,,,
substantial hyperexpansion of the lungs with upper lobe predominant emphysema is again noted and there is little change in the appearance of the cardiomediastinal silhouette  .,,1.0,,,,,,,,,,,,
single portable view of the chest,1.0,,,,,,,,,,,,,
the lungs are hyperinflated but clear of consolidation,,,,,,,1.0,,,,,,,
the cardiomediastinal silhouette is within normal limits,1.0,0.0,,,,,,,,,,,,
osseous structures are unremarkable  .,1.0,,,,,,,,,,,,,
the lungs are hyperexpanded and show hyperlucency of the upper lobes consistent with known emphysema,,,,,,,,,,,,,,
asymmetric density is noted in the left lower lobe,,,,,,,,,,,,,,
the cardiomediastinal silhouette hilar contours and pleural surfaces are normal,1.0,0.0,,,,,,,,,,,,
no pleural effusion or pneumothorax is present  .,1.0,,,,,,,,,0.0,0.0,,,
heart size is normal,1.0,,0.0,,,,,,,,,,,
mediastinal and hilar contours are unremarkable,1.0,0.0,,,,,,,,,,,,
pulmonary vascularity is normal,1.0,,,,,,,,,,,,,
the lungs are hyperinflated with severe emphysema,,,,,,,,,,,,,,
punctate calcified granulomas are seen within the lung bases,,,,,,,,,,,,,,
linear opacities in the lung bases likely reflect scarring or subsegmental atelectasis,,,,,1.0,,,,1.0,,,,,
residual patchy opacity within the left upper lobe likely reflects scarring as seen on the prior chest ct,,,,,1.0,,,,,,,,,
no new consolidation pleural effusion or pneumothorax is identified,,,,,,,-1.0,,,-1.0,-1.0,,,
scarring within the lung apices is again noted,,,,,1.0,,,,,,,,,
there is diffuse demineralization of the osseous structures  .,1.0,,,,,,,,,,,,,
heart size is normal,1.0,,0.0,,,,,,,,,,,
mediastinal and hilar contours are unremarkable,1.0,0.0,,,,,,,,,,,,
pulmonary vascularity is normal,1.0,,,,,,,,,,,,,
the lungs are hyperinflated with severe emphysema,,,,,,,,,,,,,,
punctate calcified granulomas are seen within the lung bases,,,,,,,,,,,,,,
linear opacities in the lung bases likely reflect scarring or subsegmental atelectasis,,,,,1.0,,,,1.0,,,,,
residual patchy opacity within the left upper lobe likely reflects scarring as seen on the prior chest ct,,,,,1.0,,,,,,,,,
no new consolidation pleural effusion or pneumothorax is identified,,,,,,,-1.0,,,-1.0,-1.0,,,
scarring within the lung apices is again noted,,,,,1.0,,,,,,,,,
there is diffuse demineralization of the osseous structures  .,1.0,,,,,,,,,,,,,
ap portable upright chest radiograph was provided,1.0,,,,,,,,,,,,,
the lungs are hyperinflated with upper lobe lucency compatible with emphysema,,,,,,,,,,,,,,
no focal consolidation effusion or pneumothorax seen,1.0,,,,,,0.0,,,0.0,0.0,,,
cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
bony structures are intact  .,1.0,,,,,,,,,,,,,
single portable view of the chest is compared to previous exam from,1.0,,,,,,,,,,,,,
as on prior the lungs are hyperinflated with parenchymal changes suggestive of emphysema particularly at the left lung apex,,,,,,,,,,,,,,
increased interstitial markings are identified at the left lung base,,,,,1.0,,,,,,,,,
elsewhere the lungs are grossly clear,1.0,,,,,,,,,,,,,
cardiomediastinal silhouette is within normal limits,1.0,0.0,,,,,,,,,,,,
osseous and soft tissue structures are unremarkable,1.0,,,,,,,,,,,,,
linear patchy at the right lung base is compatible with atelectasis versus scarring  .,,,,,-1.0,,,,-1.0,,,,,
the heart size is enlarged,,,1.0,,,,,,,,,,,
the mediastinal contours demonstrate engorgement of the central venous vasculature,,1.0,,,,,,,,,,,,
additionally small bilateral pleural effusions are present with basilar atelectasis,,,,,,,,,1.0,,1.0,,,
there does not appear to be appreciable interstitial edema,,,,,,1.0,,,,,,,,
there is no pneumothorax  .,1.0,,,,,,,,,0.0,,,,
comparison is made to previous study from,1.0,,,,,,,,,,,,,
the endotracheal tube and right-sided ij central venous line are unchanged in position and appropriately sited,1.0,,,,,,,,,,,,,1.0
there is also a left-sided subclavian catheter with distal lead tip in the proximal svc,1.0,,,,,,,,,,,,,1.0
there is stable cardiomegaly,,,1.0,,,,,,,,,,,
there are again seen bilateral pleural effusions and a left retrocardiac opacity,,,,,1.0,,,,,,1.0,,,
there are no signs for overt pulmonary edema,,,,,,1.0,,,,,,,,
there are no pneumothoraces  .,1.0,,,,,,,,,0.0,,,,
comparison is made to previous study from,1.0,,,,,,,,,,,,,
the endotracheal tube and right-sided ij central venous line are unchanged in position and appropriately sited,1.0,,,,,,,,,,,,,1.0
there is also a left-sided subclavian catheter with distal lead tip in the proximal svc,1.0,,,,,,,,,,,,,1.0
there is stable cardiomegaly,,,1.0,,,,,,,,,,,
there are again seen bilateral pleural effusions and a left retrocardiac opacity,,,,,1.0,,,,,,1.0,,,
there are no signs for overt pulmonary edema,,,,,,1.0,,,,,,,,
there are no pneumothoraces  .,1.0,,,,,,,,,0.0,,,,
as compared to the previous radiograph there is no change in position of the monitoring and support devices,1.0,,,,,,,,,,,,,1.0
unchanged volume loss at the right lung base,,,,,,,,,,,,,,
unchanged disruption of the right bronchial air column suggesting mucoid impaction,1.0,,,,,,,,,,,,,
unchanged borderline size of the cardiac silhouette,,,1.0,,,,,,,,,,,
no pneumothorax,1.0,,,,,,,,,0.0,,,,
no pulmonary edema,1.0,,,,,0.0,,,,,,,,
no evidence of pneumonia  .,1.0,,,,,,,0.0,,,,,,
right internal jugular line ends at lower svc whereas the dialysis catheter through the left subclavian approach ends at mid svc,1.0,,,,,,,,,,,,,1.0
moderate right pleural effusion and bilateral lower lung atelectasis are unchanged,,,,,,,,,1.0,,1.0,,,
mild pulmonary vascular congestion is stable,,,,,,-1.0,,,,,,,,
enlarged heart size mediastinal and hilar contours are unchanged,,-1.0,1.0,,,,,,,,,,,
no pneumothorax  .,1.0,,,,,,,,,0.0,,,,
as compared to the previous radiograph the cardiac silhouette is unchanged,,,-1.0,,,,,,,,,,,
there is increasing opacity at the right lung base,,,,,1.0,,,,,,,,,
as previously noted there is volume loss,,,,,,,,,,,,,,
this volume loss could now be accompanied by a small right pleural effusion,,,,,,,,,,,1.0,,,
the left hemidiaphragm is also less visible suggesting the potential for a small left pleural effusion,,,,,,,,,,,1.0,,,
the monitoring and support devices in particular the position of the endotracheal tube is constant,1.0,,,,,,,,,,,,,1.0
at the time of observation and dictation 841 am on the referring physician,1.0,,,,,,,,,,,,,
was paged for notification  .,1.0,,,,,,,,,,,,,
a right internal jugular central venous catheter tip terminates in the mid svc,1.0,,,,,,,,,,,,,1.0
no pneumothorax is identified,1.0,,,,,,,,,0.0,,,,
moderate to severe cardiomegaly persists,,,1.0,,,,,,,,,,,
mediastinal and hilar contours are unchanged,,-1.0,,,,,,,,,,,,
a septal closure device is noted again,1.0,,,,,,,,,,,,,1.0
there is a small right pleural effusion with atelectatic changes in the right lung base,,,,,,,,,1.0,,1.0,,,
left lung remains clear  .,1.0,,,,,,,,,,,,,
as compared to the previous radiograph the previously visible right internal jugular vein catheter has been removed,1.0,,,,,,,,,,,,,0.0
the patient is still intubated with an unchanged position of the endotracheal tube nasogastric tube and the right picc line,1.0,,,,,,,,,,,,,1.0
unchanged moderate cardiomegaly,,,1.0,,,,,,,,,,,
unchanged mild-to-moderate right pleural effusion unchanged mild fluid overload and areas of moderate retrocardiac atelectasis,,,,,,,,,1.0,,1.0,,,
there is no newly occurred focal parenchymal opacity  .,1.0,,,,0.0,,,,,,,,,
the study is somewhat limited due to patient rotation,1.0,,,,,,,,,,,,,
the heart remains moderate to severely enlarged,,,1.0,,,,,,,,,,,
mediastinal widening is unchanged compared to the prior studies,1.0,,,,,,,,,,,,,
the pulmonary vascularity is normal,1.0,,,,,,,,,,,,,
small right pleural effusion has decreased in the interval,,,,,,,,,,,1.0,,,
left lung is clear,1.0,,,,,,,,,,,,,
there is minimal atelectasis in the right lung,,,,,,,,,1.0,,,,,
no pneumothorax is present,1.0,,,,,,,,,0.0,,,,
no acute osseous abnormality is seen  .,1.0,,,,,,,,,,,,,
the study is somewhat limited due to patient rotation,1.0,,,,,,,,,,,,,
the heart remains moderate to severely enlarged,,,1.0,,,,,,,,,,,
mediastinal widening is unchanged compared to the prior studies,1.0,,,,,,,,,,,,,
the pulmonary vascularity is normal,1.0,,,,,,,,,,,,,
small right pleural effusion has decreased in the interval,,,,,,,,,,,1.0,,,
left lung is clear,1.0,,,,,,,,,,,,,
there is minimal atelectasis in the right lung,,,,,,,,,1.0,,,,,
no pneumothorax is present,1.0,,,,,,,,,0.0,,,,
no acute osseous abnormality is seen  .,1.0,,,,,,,,,,,,,
comparison is made with a study of the area of opacification at the right base posteriorly has increased consistent with worsening pleural effusion and underlying compressive atelectasis,,,,,1.0,,,,1.0,,1.0,,,
cardiac silhouette has increased in size,,,1.0,,,,,,,,,,,
however there is no convincing evidence of pulmonary vascular congestion or acute focal pneumonia  .,1.0,,,,,0.0,,0.0,,,,,,
comparison is made with a study of the area of opacification at the right base posteriorly has increased consistent with worsening pleural effusion and underlying compressive atelectasis,,,,,1.0,,,,1.0,,1.0,,,
cardiac silhouette has increased in size,,,1.0,,,,,,,,,,,
however there is no convincing evidence of pulmonary vascular congestion or acute focal pneumonia  .,1.0,,,,,0.0,,0.0,,,,,,
as compared to the previous radiograph the patient has been intubated,1.0,,,,,,,,,,,,,
the tip of the endotracheal tube projects 28 cm above the carina,1.0,,,,,,,,,,,,,1.0
the patient has also received a nasogastric tube,1.0,,,,,,,,,,,,,1.0
the course of the tube is unremarkable the tip of the tube is not visible on the current image,1.0,,,,,,,,,,,,,1.0
the right internal jugular vein catheter is in unchanged position,1.0,,,,,,,,,,,,,1.0
the atelectatic opacity at the right lung base is slightly increasing,,,,,1.0,,,,1.0,,,,,
there also is a disruption in the air column of the right main bronchus so that bronchoscopic evaluation or clearance of potentially present mucus might be indicated  .,1.0,,,,,,,,,,,,,
the picc ends in the upper svc,1.0,,,,,,,,,,,,,1.0
the cardiomediastinal silhouette is normal although evaluation is somewhat limited by patients rotation,1.0,0.0,,,,,,,,,,,,
there is a moderate right pleural effusion similar in size from the previous study on,,,,,,,,,,,1.0,,,
no left pleural effusion is present,1.0,,,,,,,,,,0.0,,,
there is no consolidation or pneumothorax  .,1.0,,,,,,0.0,,,0.0,,,,
as compared to the previous radiograph there is no relevant change,1.0,,,,,,,,,,,,,
the monitoring and support devices are constant,1.0,,,,,,,,,,,,,1.0
no evidence of pneumothorax,1.0,,,,,,,,,0.0,,,,
no other acute interval changes  .,1.0,,,,,,,,,,,,,
as compared to the previous radiograph there is unchanged evidence of moderate cardiomegaly and a right pleural effusion,,,1.0,,,,,,,,1.0,,,
the signs indicative of fluid overload have increased in extent best visible in the left upper lung,1.0,,,,,,,,,,,,,
there is minimal blunting of the left costophrenic sinus potentially indicative of the presence of a small pleural effusion,,,,,,,,,,,1.0,,,
no evidence of pneumonia  .,1.0,,,,,,,0.0,,,,,,
as compared to the previous radiograph the nasogastric tube is now visible,1.0,,,,,,,,,,,,,1.0
it is coiled in the stomach but the tip is located in the middle parts of the stomach,1.0,,,,,,,,,,,,,1.0
no evidence of complications notably no pneumothorax,1.0,,,,,,,,,0.0,,,,
otherwise unchanged chest radiograph,1.0,,,,,,,,,,,,,
unchanged cardiac silhouette  .,,,1.0,,,,,,,,,,,
right ij line tip projects over the expected region of the upper svc,1.0,,,,,,,,,,,,,1.0
right-sided picc tip projects over the expected region of the cavoatrial junction,1.0,,,,,,,,,,,,,1.0
et tube is approximately 43 cm above the carina,1.0,,,,,,,,,,,,,1.0
a feeding tube is noted with tip in the expected region of the proximal gastric antrum with side ports within the body of the stomach,1.0,,,,,,,,,,,,,1.0
severe cardiomegaly is again noted,,,1.0,,,,,,,,,,,
right-sided pleural effusion is unchanged from the prior examination,,,,,,,,,,,1.0,,,
the opacification at the left lung base is unchanged from the most recent prior examination may represent pleural effusion with atelectasis however infectious process such as pneumonia cannot be excluded in the correct clinical setting  .,,,,,1.0,,,1.0,1.0,,-1.0,,,
right ij line tip projects over the expected region of the upper svc,1.0,,,,,,,,,,,,,1.0
right-sided picc tip projects over the expected region of the cavoatrial junction,1.0,,,,,,,,,,,,,1.0
et tube is approximately 43 cm above the carina,1.0,,,,,,,,,,,,,1.0
a feeding tube is noted with tip in the expected region of the proximal gastric antrum with side ports within the body of the stomach,1.0,,,,,,,,,,,,,1.0
severe cardiomegaly is again noted,,,1.0,,,,,,,,,,,
right-sided pleural effusion is unchanged from the prior examination,,,,,,,,,,,1.0,,,
the opacification at the left lung base is unchanged from the most recent prior examination may represent pleural effusion with atelectasis however infectious process such as pneumonia cannot be excluded in the correct clinical setting  .,,,,,1.0,,,1.0,1.0,,-1.0,,,
there are low lung volumes,1.0,,,,,,,,,,,,,
this accentuates the size of the cardiac silhouette which is likely top normal,1.0,,0.0,,,,,,,,,,,
there is crowding of the bronchovascular structures but no evidence of pulmonary edema,1.0,,,,,0.0,,,,,,,,
the mediastinal and hilar contours are otherwise within normal limits,1.0,0.0,,,,,,,,,,,,
previously described subpleural left lower lobe opacity seen on prior chest radiograph which corresponds to an area of pleural fat on ct appears more prominent on the current exam,,,,,1.0,,,,,,,,,
bilateral patchy opacities in the lung bases may reflect areas of infection or atelectasis,,,,,1.0,,,-1.0,-1.0,,,,,
there are small bilateral pleural effusions,,,,,,,,,,,1.0,,,
no pneumothorax is identified and there are no acute osseous abnormalities  .,1.0,,,,,,,,,0.0,,,,
there are low lung volumes,1.0,,,,,,,,,,,,,
this accentuates the size of the cardiac silhouette which is likely top normal,1.0,,0.0,,,,,,,,,,,
there is crowding of the bronchovascular structures but no evidence of pulmonary edema,1.0,,,,,0.0,,,,,,,,
the mediastinal and hilar contours are otherwise within normal limits,1.0,0.0,,,,,,,,,,,,
